,size,total_sqft,bath,price
171,3,1900.0,3.0,119.0
172,2,805.0,2.0,22.14
173,2,1153.0,2.0,56.4
174,2,1148.0,2.0,60.0
175,2,1110.0,2.0,55.0
176,2,1100.0,2.0,42.0
177,2,1290.0,2.0,110.0
178,3,1500.0,2.0,65.0
179,2,1080.0,2.0,39.0
180,3,1933.0,3.0,129.0
181,2,1060.0,2.0,60.0
182,3,1644.0,3.0,84.0
183,2,1285.0,2.0,72.5
184,3,1200.0,3.0,90.0
185,2,910.0,2.0,40.0
186,3,1577.0,3.0,70.0
187,3,4050.0,3.0,280.0
188,3,2420.0,3.0,185.0
189,2,800.0,1.0,20.0
190,2,1060.0,2.0,55.0
191,2,1270.0,2.0,93.0
192,2,900.0,2.0,22.5
193,2,1280.0,2.0,69.0
194,2,1025.0,2.0,36.0
195,2,1108.0,2.0,63.0
196,3,3045.0,3.0,170.0
197,3,1500.0,3.0,75.5
198,2,1295.0,2.0,43.9
199,2,1162.0,2.0,59.9
200,2,1035.0,2.0,49.2
201,3,1464.0,3.0,46.0
202,3,1866.0,2.0,61.58
203,2,700.0,1.0,26.0
204,3,1804.0,3.0,120.0
205,2,913.0,2.0,32.0
206,3,1868.0,3.0,131.0
207,2,883.0,2.0,45.0
208,3,1664.0,2.0,73.95
209,3,2026.0,3.0,132.0
210,2,1210.0,2.0,80.9
211,3,1762.0,3.0,91.45
212,3,1252.0,3.0,55.0
213,2,861.0,2.0,34.5
214,3,1420.0,2.0,100.0
215,3,1490.0,3.0,78.8
216,3,1075.0,2.0,46.0
217,3,1425.0,2.0,94.0
218,2,1200.0,2.0,40.0
219,3,1280.0,2.0,56.0
220,2,1084.0,2.0,50.0
221,2,1015.0,2.0,25.88
222,2,1017.0,2.0,51.25
223,2,1027.0,2.0,44.0
224,2,1069.0,2.0,45.0
225,2,1349.0,2.0,98.2
226,2,1005.0,2.0,50.0
227,2,1417.0,2.0,75.0
228,3,1475.0,3.0,98.0
229,2,950.0,2.0,47.0
230,2,1010.0,2.0,29.5
231,3,1425.0,2.0,70.0
232,3,1450.0,3.0,100.0
233,3,1847.0,3.0,105.0
234,2,1100.0,2.0,45.0
235,3,1665.0,3.0,95.0
236,3,1850.0,3.0,150.0
237,2,1438.0,2.0,100.0
238,3,1560.0,3.0,115.0
239,2,1350.0,2.0,55.55
240,3,1550.0,3.0,67.0
241,2,1140.0,2.0,46.5
242,2,850.0,2.0,27.0
243,2,1280.0,2.0,75.0
244,2,1170.0,2.0,52.0
245,2,1113.0,2.0,51.0
246,2,1385.0,2.0,83.09
247,2,1128.0,2.0,65.0
248,3,1464.0,3.0,56.0
249,2,1200.0,2.0,55.0
250,2,1200.0,2.0,52.0
251,3,1150.0,2.0,55.0
252,3,1645.0,3.0,95.0
253,2,1000.0,2.0,67.0
254,2,1192.0,2.0,74.0
255,3,2135.0,3.0,215.0
256,2,1173.0,2.0,58.0
257,2,1020.0,2.0,45.0
258,3,1600.0,3.0,64.0
259,2,1200.0,2.0,79.0
260,2,1230.0,2.0,48.0
261,2,1250.0,2.0,40.0
262,2,1325.0,2.0,76.0
263,3,1850.0,3.0,150.0
264,2,1200.0,2.0,65.0
265,3,1350.0,2.0,140.0
266,3,1260.0,3.0,49.36
267,3,1800.0,3.0,150.0
268,2,1100.0,2.0,43.25
269,2,1508.0,2.0,77.0
270,3,1592.0,3.0,75.0
271,2,1388.0,2.0,57.0
272,3,1762.0,3.0,125.0
273,2,950.0,2.0,50.0
274,2,1116.0,2.0,50.0
275,2,1308.0,2.0,89.04
276,3,1200.0,3.0,90.0
277,2,1075.0,2.0,52.0
278,2,1205.0,2.0,66.0
279,2,1075.0,2.0,60.0
280,2,930.0,2.0,39.0
281,2,1380.0,2.0,60.0
282,2,1166.0,2.0,55.0
283,2,1050.0,2.0,65.0
284,2,1200.0,2.0,46.8
285,3,1600.0,2.0,108.0
286,3,1935.0,3.0,110.0
287,3,1800.0,3.0,95.0
288,3,1400.0,3.0,77.0
289,3,1801.0,3.0,115.0
290,2,1451.0,2.0,90.0
291,2,1200.0,1.0,36.0
292,2,1160.0,2.0,44.0
293,2,1000.0,2.0,25.0
294,2,950.0,2.0,40.0
295,3,1629.0,3.0,79.0
296,3,1580.0,2.0,134.0
297,3,1826.0,3.0,121.0
298,2,1245.0,2.0,94.0
299,2,1145.0,2.0,45.79
300,2,825.0,2.0,33.0
301,3,1693.0,3.0,108.0
302,2,1113.27,2.0,53.0
303,2,1460.0,2.0,58.0
304,2,1050.0,2.0,32.0
305,2,1260.0,2.0,55.0
306,2,1656.0,2.0,120.0
307,3,1208.0,3.0,45.0
308,3,1910.0,3.0,161.0
309,2,1200.0,2.0,65.0
310,2,1175.0,2.0,82.0
311,2,1185.0,2.0,38.0
312,2,750.0,2.0,38.0
313,3,1550.0,3.0,64.5
314,3,1760.0,3.0,88.0
315,2,1125.0,2.0,62.0
316,2,1000.0,2.0,55.0
317,2,1090.0,2.0,31.48
318,2,1200.0,2.0,60.0
319,3,1991.0,4.0,103.0
320,2,1060.0,2.0,26.5
321,2,1105.0,2.0,75.0
322,2,985.0,2.0,67.0
323,3,1590.0,3.0,79.0
324,2,1120.0,2.0,55.0
325,2,1069.0,2.0,55.0
326,3,1933.0,3.0,140.0
327,2,1194.0,2.0,69.0
328,2,1150.0,2.0,69.0
329,2,1240.0,2.0,47.12
330,2,1419.0,2.0,48.1
331,3,1450.0,3.0,55.0
332,3,1630.0,3.0,68.29
333,2,708.0,1.0,40.0
334,2,1250.0,2.0,76.0
335,3,1400.0,2.0,95.0
336,3,1670.0,2.0,57.0
337,3,1750.0,3.0,100.0
338,2,1404.0,2.0,71.0
339,3,1715.0,2.0,95.0
340,3,1752.12,3.0,135.0
341,3,1650.0,3.0,78.0
342,2,1295.0,2.0,55.47
343,2,1346.0,2.0,74.03
344,2,1150.0,2.0,55.0
345,3,1190.0,2.0,30.35
346,3,1620.0,3.0,98.0
347,2,950.0,2.0,46.96
348,3,2450.0,3.0,120.0
349,3,1220.0,2.0,35.23
350,2,850.0,2.0,30.0
351,2,1020.0,2.0,63.0
352,2,1100.0,2.0,50.0
353,3,1760.0,2.0,130.0
354,3,1800.0,3.0,110.0
355,2,1070.0,2.0,54.0
356,2,1440.0,2.0,95.0
357,2,900.0,2.0,40.0
358,2,1130.0,2.0,42.16
359,2,1270.0,2.0,98.0
360,2,1200.0,2.0,62.0
361,2,1200.0,2.0,74.0
362,2,929.0,2.0,50.17
363,3,1464.0,3.0,56.0
364,2,1208.0,2.0,49.0
365,2,1130.0,2.0,60.0
366,3,1753.0,3.0,120.0
367,2,1196.0,2.0,94.42
368,2,1150.0,3.0,52.5
369,2,1128.0,2.0,63.0
370,2,1000.0,2.0,53.0
371,2,1035.0,2.0,45.0
372,2,950.0,2.0,32.0
373,3,1075.0,2.0,36.0
374,2,1040.0,2.0,48.5
375,2,720.0,2.0,45.0
376,3,1511.0,3.0,95.0
377,3,1300.0,3.0,58.0
378,3,1545.0,3.0,68.75
379,2,1062.0,2.0,38.0
380,2,1115.0,2.0,40.0
381,2,1000.0,2.0,35.0
382,2,883.0,2.0,45.0
383,2,1195.0,2.0,70.0
384,2,1246.0,2.0,67.0
385,3,1584.0,3.0,65.0
386,3,1175.0,2.0,48.0
387,3,1595.0,3.0,115.0
388,2,1353.0,2.0,110.0
389,3,1599.0,3.0,125.0
390,2,1150.0,2.0,70.0
391,2,1155.0,2.0,42.74
392,2,1000.0,2.0,25.0
393,3,1867.0,3.0,160.0
394,2,1251.0,2.0,47.0
395,2,1028.0,2.0,45.5
396,2,1222.0,2.0,45.0
397,3,1170.0,2.0,66.0
398,3,2400.0,4.0,245.0
399,3,1385.0,2.0,48.48
400,2,1372.0,2.0,68.0
401,3,1282.0,2.0,49.0
402,2,1135.0,2.0,39.73
403,3,1768.0,3.0,101.0
404,3,1325.0,2.0,90.0
405,3,1599.0,3.0,99.0
406,3,1500.0,3.0,61.95
407,2,1286.0,2.0,63.0
408,3,1600.0,2.0,50.0
409,2,1317.5,2.0,63.77
410,3,3450.0,5.0,260.0
411,2,1102.0,2.0,53.67
412,2,1350.0,2.0,54.0
413,3,1200.0,2.0,42.0
414,2,1800.0,1.0,80.0
415,2,950.0,2.0,40.0
416,2,656.0,2.0,25.0
417,2,1056.0,2.0,80.0
418,2,1080.0,2.0,50.0
419,3,2225.0,3.0,160.0
420,2,1126.0,2.0,28.15
421,3,1490.0,3.0,84.0
422,3,1550.0,3.0,100.0
423,3,1600.0,3.0,86.0
424,2,1160.0,2.0,55.0
425,3,2100.0,3.0,125.0
426,2,1404.0,2.0,69.3
427,3,1544.0,3.0,120.0
428,3,1305.0,2.0,58.7
429,2,1230.0,2.0,80.0
430,2,1200.0,2.0,65.0
431,3,1460.0,3.0,73.0
432,2,967.0,2.0,45.0
433,2,1020.0,2.0,48.95
434,2,1020.0,2.0,40.0
435,2,1253.0,2.0,102.0
436,2,1180.0,2.0,42.0
437,2,961.0,2.0,38.0
438,3,1419.0,3.0,75.0
439,3,1709.0,3.0,150.0
440,2,1600.0,2.0,115.0
441,2,1100.0,2.0,98.0
442,3,1430.0,2.0,65.0
443,2,1260.0,2.0,45.0
444,3,1630.0,3.0,85.0
445,3,1249.0,3.0,44.71
446,3,1450.0,2.0,85.0
447,3,2791.0,3.0,223.0
448,3,1125.0,4.0,70.0
449,3,2060.0,3.0,140.0
450,2,891.0,2.0,25.0
451,2,1133.0,2.0,49.07
452,3,1075.0,2.0,37.0
453,2,1200.0,2.0,55.0
454,2,1075.0,2.0,45.8
455,2,1140.0,2.0,40.0
456,2,1090.0,2.0,42.0
457,3,1790.0,3.0,100.0
458,3,1920.0,3.0,134.0
459,2,1374.0,2.0,95.0
460,3,1445.0,3.0,95.0
461,3,1500.0,3.0,95.0
462,3,1720.0,3.0,100.0
463,3,1400.0,3.0,60.0
464,2,1030.0,2.0,49.0
465,2,1200.0,2.0,85.0
466,3,1375.0,3.0,70.0
467,2,1050.0,1.0,56.0
468,3,2250.0,3.0,160.0
469,2,1000.0,2.0,50.0
470,2,883.0,2.0,29.0
471,3,1820.0,2.0,86.0
472,3,1440.0,2.0,65.0
473,2,1225.0,2.0,48.0
474,2,875.0,2.0,52.8
475,2,1180.0,2.0,80.0
476,2,1194.0,2.0,47.0
477,3,1500.0,2.0,62.0
478,2,1160.0,2.0,52.2
479,2,1128.0,2.0,60.0
480,3,1500.0,3.0,150.0
481,3,1220.0,2.0,35.23
482,2,1210.0,2.0,58.0
483,3,1100.0,2.0,58.0
484,3,1200.0,3.0,46.0
485,3,1641.0,3.0,66.0
486,2,1200.0,2.0,45.0
487,2,1260.0,2.0,67.39
488,3,1720.0,3.0,78.0
489,2,1132.5,2.0,48.13
490,2,1210.0,2.0,45.98
491,3,1075.0,2.0,45.0
492,3,1702.0,3.0,130.0
493,2,1141.0,2.0,38.55
494,3,2072.0,3.0,108.0
495,3,1200.0,2.0,70.0
496,3,1350.0,3.0,77.0
497,3,1180.0,2.0,78.34
498,2,1355.0,2.0,115.0
499,3,1640.0,2.0,120.0
500,3,1190.0,2.0,57.0
501,2,1019.0,2.0,49.85
502,3,1875.0,3.0,165.0
503,3,1250.0,3.0,40.0
504,2,1140.0,2.0,56.0
505,3,1683.0,3.0,109.0
506,3,1515.0,3.0,83.3
507,2,1083.0,2.0,61.75
508,2,600.0,2.0,55.0
509,3,2300.0,3.0,120.0
510,2,1240.0,2.0,60.0
511,3,1750.0,3.0,120.0
512,2,1230.0,2.0,43.48
513,3,1500.0,3.0,139.0
514,2,985.0,2.0,40.39
515,3,1500.0,2.0,87.0
516,2,1125.0,2.0,32.49
517,2,950.0,2.0,44.0
518,3,1580.0,3.0,76.0
519,3,1092.0,2.0,98.5
520,2,1090.0,2.0,28.34
521,3,2264.0,3.0,159.0
522,3,1033.0,2.0,25.53
523,2,810.0,2.0,24.5
524,2,1045.0,2.0,45.0
525,2,1337.0,2.0,82.0
526,2,1200.0,2.0,32.0
527,3,1580.0,3.0,160.0
528,3,1500.0,2.0,54.0
529,3,1640.0,4.0,91.0
530,3,1570.0,3.0,62.0
531,3,1470.0,2.0,82.0
532,2,1160.0,2.0,40.61
533,2,1050.0,2.0,71.0
534,3,1460.0,2.0,90.0
535,3,1823.0,3.0,100.0
536,2,1094.0,2.0,42.0
537,2,1153.0,2.0,57.0
538,3,1325.0,3.0,57.0
539,3,1590.0,2.0,125.0
540,2,1202.0,2.0,48.0
541,2,1202.0,2.0,53.0
542,2,1200.0,2.0,62.5
543,3,1688.0,3.0,118.0
544,2,1020.0,2.0,52.0
545,2,1185.0,2.0,47.0
546,2,1235.0,2.0,52.04
547,2,1077.0,2.0,37.64
548,3,1415.0,2.0,66.0
549,3,2330.0,3.0,162.0
550,2,805.0,2.0,35.0
551,2,1155.0,2.0,59.95
552,2,656.0,2.0,22.0
553,2,1100.0,2.0,48.0
554,2,1150.0,2.0,52.0
555,2,1468.0,2.0,140.0
556,3,2280.0,4.0,126.0
557,2,1341.0,2.0,97.0
558,2,1279.0,2.0,77.0
559,2,1185.0,2.0,43.51
560,3,1750.0,3.0,85.0
561,2,1152.0,2.0,53.5
562,2,1300.0,2.0,36.0
563,2,1070.0,2.0,39.0
564,2,1101.0,2.0,45.0
565,2,775.0,2.0,55.0
566,2,1070.0,2.0,55.0
567,3,1875.0,2.0,110.0
568,2,735.0,2.0,57.99
569,3,1750.0,3.0,130.0
570,2,1215.0,2.0,67.0
571,2,820.0,2.0,30.0
572,2,1177.5,2.0,59.935
573,3,1779.0,3.0,89.61
574,2,1105.0,2.0,58.0
575,3,1650.0,3.0,60.0
576,2,1694.0,2.0,150.0
577,3,2376.0,3.0,203.0
578,3,1975.0,3.0,150.0
579,2,674.0,2.0,33.0
580,2,1185.0,2.0,41.0
581,3,1475.0,3.0,75.0
582,3,1618.0,3.0,82.5
583,2,1120.0,2.0,65.0
584,3,1556.0,2.0,59.13
585,2,1179.0,2.0,66.02
586,2,1296.0,2.0,83.0
587,2,1275.0,2.0,52.0
588,3,1400.0,2.0,77.0
589,2,1222.0,2.0,63.0
590,2,940.0,2.0,41.0
591,2,1185.0,2.0,42.6
592,3,1779.0,3.0,112.0
593,3,1615.0,3.0,59.76
594,2,1056.0,2.0,61.0
595,2,1100.0,2.0,46.0
596,2,920.0,2.0,40.0
597,3,1602.0,2.0,75.0
598,2,1176.0,2.0,62.0
599,3,1352.0,3.0,135.0
600,3,1717.0,3.0,99.0
601,2,1246.0,2.0,67.3
602,2,1141.0,2.0,42.79
603,2,1157.0,2.0,84.0
604,2,1025.0,2.0,27.68
605,2,1349.0,2.0,98.0
606,3,1566.0,3.0,83.3
607,3,1320.0,2.0,38.13
608,3,1780.0,3.0,84.83
609,2,1091.0,2.0,34.9
610,2,918.0,2.0,50.49
611,3,1695.0,3.0,90.0
612,3,1705.0,3.0,95.0
613,3,1375.0,3.0,75.0
614,2,1447.0,2.0,83.0
615,2,1114.0,2.0,39.0
616,3,1450.0,2.0,100.0
617,2,1022.0,2.0,40.0
618,2,1000.0,2.0,45.0
619,2,1128.0,2.0,68.75
620,2,1180.0,2.0,57.0
621,2,1339.0,2.0,75.0
622,3,1400.0,2.0,55.0
623,2,1040.0,2.0,39.52
624,2,1198.0,2.0,58.0
625,3,1691.0,3.0,113.0
626,3,1075.0,3.0,36.0
627,3,1240.0,3.0,43.5
628,2,1122.5,2.0,58.935
629,3,1665.0,3.0,86.58
630,3,2489.0,3.0,94.0
631,2,1142.0,2.0,70.0
632,3,1976.0,3.0,184.0
633,3,1853.0,3.0,82.0
634,2,1567.0,2.0,92.0
635,2,1090.0,2.0,27.24
636,2,1175.0,2.0,51.47
637,2,1200.0,2.0,52.0
638,2,995.0,2.0,41.0
639,2,884.0,2.0,41.1
640,2,1170.0,2.0,57.0
641,2,1225.0,2.0,46.55
642,2,1342.0,2.0,73.3
643,2,1345.0,2.0,67.0
644,3,1320.0,3.0,65.0
645,2,1140.0,2.0,49.39
646,2,1300.0,2.0,50.0
647,3,1652.0,3.0,85.0
648,3,2072.0,4.0,142.0
649,3,1740.0,2.0,95.0
650,3,1360.0,2.0,71.0
651,3,1145.0,2.0,60.0
652,3,1540.0,2.0,40.0
653,2,1278.0,2.0,95.0
654,3,1100.0,3.0,58.0
655,3,1200.0,3.0,95.0
656,2,1015.0,2.0,25.88
657,3,1356.0,2.0,66.0
658,2,823.0,2.0,28.0
659,3,1200.0,2.0,66.0
660,2,1050.0,2.0,37.0
661,2,1180.0,2.0,69.0
662,2,1116.0,2.0,51.91
663,2,1070.0,2.0,42.79
664,2,1385.0,2.0,80.0
665,3,1897.0,3.0,130.0
666,2,1005.0,2.0,55.78
667,3,1575.0,3.0,125.0
668,2,975.0,2.0,65.0
669,3,1904.0,3.0,120.0
670,2,2400.0,3.0,150.0
671,3,2238.0,3.0,140.0
672,2,1174.0,2.0,69.0
673,3,2225.0,2.0,125.0
674,2,918.0,2.0,52.0
675,2,1250.0,2.0,52.0
676,3,1800.0,3.0,110.0
677,2,1170.0,2.0,53.0
678,2,793.0,2.0,45.0
679,3,1710.0,3.0,107.0
680,3,1082.0,2.0,57.5
681,2,1001.0,2.0,33.03
682,3,1590.0,2.0,54.0
683,3,2400.0,2.0,80.0
684,3,1554.0,3.0,55.0
685,2,1142.5,2.0,43.415
686,2,884.0,1.0,58.0
687,2,1045.0,2.0,98.89
688,2,1019.0,2.0,49.86
689,3,1935.0,4.0,130.0
690,3,1135.0,2.0,39.73
691,3,1680.0,3.0,150.0
692,3,1799.0,3.0,90.0
693,2,1047.0,2.0,82.0
694,2,1282.0,2.0,87.0
695,2,1020.0,2.0,45.9
696,2,1495.0,2.0,79.5
697,3,1611.0,2.0,64.44
698,3,1500.0,2.0,95.0
699,3,1500.0,2.0,95.0
700,3,1540.0,3.0,50.0
701,3,1639.0,3.0,80.0
702,2,1303.0,2.0,55.79
703,3,1305.0,3.0,33.28
704,2,1300.0,1.0,115.0
705,3,1440.0,2.0,68.0
706,2,901.0,2.0,35.14
707,3,900.0,2.0,42.0
708,2,1060.0,2.0,55.0
709,2,1020.0,2.0,48.45
710,3,1535.0,3.0,65.99
711,3,1464.0,3.0,56.0
712,2,1350.0,2.0,80.0
713,2,1115.0,2.0,50.0
714,2,1175.0,2.0,47.0
715,2,1113.0,2.0,62.0
716,2,650.0,2.0,42.0
717,2,1325.0,2.0,71.55
718,2,950.0,2.0,31.0
719,3,1396.0,2.0,86.51
720,2,1050.0,2.0,52.07
721,3,1825.0,3.0,100.0
722,2,1190.0,2.0,49.98
723,2,1220.0,2.0,56.5
724,3,1565.0,2.0,75.0
725,3,1891.0,3.0,109.0
726,2,900.0,2.0,27.0
727,2,1161.0,2.0,55.15
728,2,1175.0,2.0,73.5
729,2,1425.0,2.0,80.0
730,3,1200.0,3.0,56.12
731,2,1255.0,2.0,67.0
732,3,2112.95,4.0,145.0
733,3,1810.0,3.0,100.0
734,2,1200.0,2.0,93.0
735,2,1033.0,2.0,49.0
736,3,1548.0,3.0,89.5
737,3,1611.0,3.0,66.0
738,3,1400.0,2.0,40.43
739,3,1485.0,2.0,67.0
740,2,2400.0,2.0,82.0
741,2,1025.0,2.0,44.5
742,2,1225.0,2.0,53.0
743,2,1256.0,2.0,62.8
744,3,1100.0,3.0,53.0
745,2,1141.0,2.0,62.0
746,2,1400.0,2.0,60.0
747,2,1175.0,2.0,48.27
748,2,1100.0,2.0,56.0
749,3,1843.0,3.0,95.84
750,2,1460.0,2.0,80.5
751,3,1530.0,2.0,74.5
752,2,1467.0,2.0,55.0
753,2,1246.0,2.0,64.5
754,2,1194.0,2.0,46.0
755,3,1358.0,2.0,43.4
756,2,1420.0,2.0,75.0
757,3,1250.0,2.0,68.75
758,2,1280.0,2.0,58.0
759,2,1209.0,2.0,50.0
760,3,1315.0,2.0,54.8
761,3,1800.0,3.0,90.0
762,3,1600.0,2.0,65.0
763,3,1563.0,3.0,52.0
764,3,1560.0,2.0,72.0
765,3,2169.0,4.0,115.0
766,2,1050.0,2.0,55.5
767,3,3235.0,3.0,235.0
768,3,1200.0,3.0,66.0
769,2,1140.0,2.0,46.0
770,3,1560.0,3.0,75.0
771,2,1100.0,2.0,70.0
772,3,1260.0,2.0,40.32
773,2,1036.0,2.0,50.0
774,3,1662.0,3.0,85.1
775,3,1464.0,2.0,105.0
776,2,1234.0,2.0,80.0
777,3,1403.0,3.0,55.0
778,3,1150.0,2.0,42.9
779,2,929.0,2.0,46.0
780,3,1350.0,2.0,75.0
781,2,1135.0,2.0,39.73
782,2,1405.0,2.0,70.0
783,2,1200.0,2.0,45.84
784,2,1161.0,2.0,64.08
785,2,1290.0,2.0,74.0
786,3,2557.0,3.0,141.0
787,3,1480.0,3.0,90.0
788,3,1350.0,3.0,54.54
789,3,1580.0,2.0,65.0
790,3,1470.0,2.0,88.64
791,2,1346.0,2.0,61.92
792,3,1600.0,3.0,90.0
793,2,1200.0,2.0,35.0
794,3,1340.0,2.0,48.33
795,2,918.0,2.0,48.0
796,3,1500.0,3.0,115.0
797,2,1315.0,2.0,85.0
798,3,1390.0,2.0,62.55
799,3,1330.0,2.0,56.0
800,3,1824.0,3.0,125.0
801,3,1420.0,2.0,96.0
802,3,1260.0,2.0,60.0
803,3,1561.0,3.0,95.0
804,2,1060.0,2.0,42.0
805,2,1225.0,2.0,67.38
806,3,2144.0,3.0,135.0
807,2,880.0,2.0,29.0
808,3,1639.0,3.0,110.0
809,3,1240.0,2.0,62.0
810,2,1500.0,2.0,69.0
811,2,1243.0,2.0,46.0
812,3,1575.0,3.0,78.0
813,2,1027.0,2.0,44.0
814,3,1082.0,2.0,56.0
815,3,1637.0,3.0,73.0
816,3,1665.0,3.0,86.58
817,2,1265.0,2.0,56.93
818,3,1691.0,2.0,102.0
819,2,1100.0,2.0,38.0
820,3,1500.0,3.0,62.0
821,2,1115.0,2.0,50.0
822,2,1070.0,2.0,45.0
823,2,1128.0,2.0,105.0
824,2,1162.0,2.0,57.0
825,2,1339.0,2.0,55.0
